Time,Open,High,Low,Close,Volume
2026-06-15 06:00:00,65461.3,65986.1,65421.1,65917.8,1390
2026-06-15 07:00:00,65911.2,65913.2,65626.1,65635.4,930
2026-06-15 08:00:00,65631.9,65864.8,65604.7,65852.4,821
2026-06-15 09:00:00,65854.3,65955.6,65765.0,65802.4,871
2026-06-15 10:00:00,65802.4,66004.5,65624.5,65665.0,1107
2026-06-15 11:00:00,65665.5,65790.7,65610.1,65653.3,883
2026-06-15 12:00:00,65653.3,65776.65,65499.9,65586.2,809
2026-06-15 13:00:00,65586.2,65964.8,65572.6,65912.3,870
2026-06-15 14:00:00,65907.1,66388.65,65837.1,66220.7,2417
2026-06-15 15:00:00,66222.7,66594.6,66092.1,66555.1,1800
2026-06-15 16:00:00,66555.1,66940.5,66400.2,66439.3,3786
2026-06-15 17:00:00,66439.3,66665.6,66291.2,66577.5,2571
2026-06-15 18:00:00,66576.8,67285.6,66566.2,67284.55,2342
2026-06-15 19:00:00,67283.7,67283.7,67083.3,67152.3,2085
2026-06-15 20:00:00,67152.3,67152.3,66672.5,66848.4,1944
2026-06-15 21:00:00,66848.4,66931.4,66711.5,66757.5,1562
2026-06-15 22:00:00,66752.3,66882.3,66345.8,66609.7,2106
2026-06-15 23:00:00,66608.15,66677.7,66477.6,66512.9,1281
2026-06-16 00:00:00,66512.9,66554.9,66329.5,66362.8,1112
2026-06-16 01:00:00,66362.8,66467.4,66088.9,66194.2,2142
2026-06-16 02:00:00,66194.2,66357.6,66110.0,66314.1,1403
2026-06-16 03:00:00,66313.2,66454.7,66229.4,66243.5,1427
2026-06-16 04:00:00,66243.0,66410.4,66235.7,66338.9,1188
2026-06-16 05:00:00,66338.9,66360.2,65679.0,65732.2,1890
2026-06-16 06:00:00,65732.2,66155.9,65638.8,66148.8,1232
2026-06-16 07:00:00,66152.6,66270.7,65784.0,65828.6,1268
2026-06-16 08:00:00,65832.0,66138.6,65832.0,66051.1,1142
2026-06-16 09:00:00,66051.1,66558.0,66051.1,66426.1,1195
2026-06-16 10:00:00,66430.5,66513.8,66289.5,66359.3,1316
2026-06-16 11:00:00,66359.3,66980.4,66327.7,66884.6,1834
2026-06-16 12:00:00,66882.4,66903.0,66463.9,66500.9,1596
2026-06-16 13:00:00,66503.0,66764.9,66476.5,66501.9,1243
2026-06-16 14:00:00,66499.6,66639.1,66358.2,66482.2,1157
2026-06-16 15:00:00,66484.4,66817.0,66360.7,66421.3,2628
2026-06-16 16:00:00,66421.3,66463.7,65927.3,66036.4,3679
2026-06-16 17:00:00,66041.5,66258.4,65352.8,65651.4,4399
2026-06-16 18:00:00,65646.3,65996.9,65602.9,65857.8,2897
2026-06-16 19:00:00,65858.8,65950.3,65689.6,65749.3,1973
2026-06-16 20:00:00,65752.1,66005.5,65696.7,65969.5,1604
2026-06-16 21:00:00,65970.5,66231.2,65790.0,65836.0,1697
2026-06-16 22:00:00,65833.6,65833.6,65546.7,65670.5,1816
2026-06-16 23:00:00,65660.5,65857.0,65577.3,65849.9,980
2026-06-17 00:00:00,65849.9,65934.0,65639.5,65769.9,790
2026-06-17 01:00:00,65769.9,65879.9,65670.5,65769.7,842
